OBJECTID,Winery,Address,Source,Lat,Long
1,Blodgett Canyon Cellars,"448 Eagle Ln. Corvallis, Montana 59828",AmericanWineryGuide.com,46.281608,-114.106081
2,Buffalo Jump Winery - Billings,"1911 King Ave. West #11 Billings, Montana, 59102",AmericanWineryGuide.com,45.755806,-108.564597
3,Glacier Sun Winery,"3250 Highway 2 E Kalispell, Montana 59901",AmericanWineryGuide.com,48.272076,-114.266227
4,Hidden Legend Winery,"1345 US Hwy 93 N #5 Victor, Montana 59875",AmericanWineryGuide.com,46.342097,-114.14987
5,Mission Mountain Winery,"82420 US Highway 93 Dayton, Montana 59914",AmericanWineryGuide.com,47.864005,-114.281535
6,Missoula Winery,"5646 W Harrier Missoula, Montana 59808",AmericanWineryGuide.com,46.924819,-114.073929
7,Rolling Hills Winery,"220 6th W St. Culbertson, Montana 59218",AmericanWineryGuide.com,48.148913,-104.521913
8,Ten Spoon Vineyard & Winery,"4175 Rattlesnake Dr. Missoula, Montana 59802",AmericanWineryGuide.com,46.902989,-113.963353
9,Tongue River Vineyard & Winery,"99 Morning Star Ln. Miles City, Montana 59301",AmericanWineryGuide.com,46.380333,-105.839656
10,Trapper Peak Winery,"75 Cattail Ln. Darby, Montana 59829",AmericanWineryGuide.com,45.957854,-114.133438
11,Yellowstone Cellars & Winery,"1335 Holiday Cir. Billings, Montana 59101",AmericanWineryGuide.com,45.746306,-108.552857
